teamname,mapped_name
1WIN,1WIN
1win,1WIN
2GAME,2GAME
3DMAX,3DMAX
500,500
5W Gaming,5W Gaming
777,777
9 Pandas,9 Pandas
9INE,9INE
9INE,9INE
9Pandas,9 Pandas
9z,9z
9z Academy,9z Academy
9z Globant,9z
ALTERNATE aTTaX,ALTERNATE aTTaX
AMKAL,AMKAL
ARCRED,ARCRED
ATOX,ATOX
ATOX Esports,ATOX
Akimbo,Akimbo
Alliance,Alliance
Amkal Esports,AMKAL
Apeks,Apeks
Arcade,Arcade
Arcade Esports,Arcade
Astralis,Astralis
Astralis Talent,Astralis Talent
Astralis W,Astralis W
Astralis W,Astralis W
Aurora,Aurora
Aurora Gaming,Aurora
Aurora Young Blud,Aurora Young Blud
B8,B8
BC.Game,BC.Game
BESTIA,BESTIA
BIG,BIG
BIG EQUIPA,BIG EQUIPA
BLEED,BLEED
BLEED,BLEED
BLEED Esports,BLEED
BOSS,BOSS
Bad News Kangaroos,Bad News Kangaroos
BetBoom,BetBoom
BetBoom Team,BetBoom
Bigetron Fury,Bigetron Fury
Bounty Hunters,Bounty Hunters
Bounty Hunters Esports,Bounty Hunters
CPH Wolves,CPH Wolves
CYBERSHOKE,CYBERSHOKE
CYBERSHOKE Esports,CYBERSHOKE
Carpe Diem,Carpe Diem
Case,Case
Case Esports,Case
CatEvil,CatEvil
Change The Game,Change The Game
Chinggis Warriors,Chinggis Warriors
Cloud9,Cloud9
Complexity,Complexity
Corinthians,Corinthians
Crescent fe,Crescent fe
DMS,DMS
DXA,DXA
DXA Esports,DXA
Detonate,Detonate
Dusty Roots,Dusty Roots
E-Xolos LAZER,E-Xolos LAZER
ECLOT,ECLOT
ECSTATIC,ECSTATIC
ENCE,ENCE
ENCE Academy,ENCE Academy
ENCE Athena,ENCE Athena
ENTERPRISE esports,ENTERPRISE esports
EYEBALLERS,EYEBALLERS
Elevate,Elevate
Endpoint,Endpoint
Endpoint CeX,Endpoint
Enterprise,Enterprise
Entropiq,Entropiq
Eternal Fire,Eternal Fire
FAVBET,FAVBET
FLUFFY AIMERS,FLUFFY AIMERS
