teamname,curr_roster,old_rosters
-72c,"['1nhuman', 'forzetsky', 'borosto', 'byek', 'spira']","[['byek', 'spira', '1nhuman', 'whsup', 'borosto'], ['m3wsu', 'forzetsky', 'ayakasi', '1nhuman', 'borosto']]"
1ADL,"['truth', 'palm1', 'sly', 'viktha', 'licale']",[]
1WIN,"['cronuss', 'hobbit', 'klain', 'oz1k', 'sh1geo']","[['hobbit', 'oz1k', 'sh1geo', 'cronuss'], ['lattykk', 'ryujin', 'buster', 'nealan', 'hobbit'], ['lattykk', 'oz1k', 'sh1geo', 'cronuss', 'hobbit'], ['lattykk', 'hobbit', 'oz1k', 'cronuss'], ['lattykk', 'jyo', 'oz1k', 'cronuss', 'hobbit'], ['lattykk', 'buster', 'nealan', 'cronuss', 'hobbit']]"
2070,"['lealzinho', 'roz', 'mid1', 'jlk', 'redi']","[['roz', 'lealzinho', 'swarmyzz', 'voltera', 'demonos'], ['jlk', 'roz', 'angelo', 'redi', 'mid1'], ['swarmyzz', 'voltera', 'demonos'], ['lealzinho', 'voltera', 'swarmyzz', 'demonos'], ['lealzinho', 'swarmyzz', 'roz', 'demonos']]"
2GAME,"['pkl', 'hardzao', 'detr0ittj', 'xureba', 'lukiz']",[]
3DMAX,"['bodyy', 'maka', 'lucky', 'ex3rcice', 'graviti']","[['ex3rcice', 'maka', 'djoko', 'lucky', 'graviti']]"
500,"['spellan', 'cerq', 'rainwaker', 'oxygen']","[['cerq', 'rainwaker', 'spellan', 'oxygen', 'redstar'], ['cerq', 'rainwaker', 'shipz', 'spellan', 'oxygen'], ['pop0v', 'cerq', 'rainwaker', 'shipz', 'oxygen']]"
500 Rush,"['grashog', 'zannn', 'next1me', 'nestee', 'aimy']","[['nestee', 'zannn', 'grashog', 'next1me']]"
5W Gaming,"['thomas', 'pr1metapz', 'h4rn', 'joel']","[['joel', 'thomas', 'pr1metapz', 'redstar', 'h4rn']]"
777,"['hagmeister', 'qzr', 'sly', 'viktha', 'wenba']",[]
