teamname,mapped_name
-72c,-72c
1ADL,1ADL
1WIN,1WIN
1win,1WIN
2070,2070
2GAME,2GAME
3DMAX,3DMAX
500,500
500 Rush,500 Rush
5W Gaming,5W Gaming
777,777
8Sins,8Sins
9 Pandas,9 Pandas
9INE,9INE
9Pandas,9 Pandas
9z,9z
9z Academy,9z Academy
9z Globant,9z
adalYamigos,adalYamigos
ADEPTS,ADEPTS
Adventurers,Adventurers
Aether,Aether
Aetheris,Aetheris
AK BARS,AK BARS
AKA HERO KAJO,AKA HERO KAJO
Akimbo,Akimbo
Akuma,Akuma
Al-Ittihad,Al-Ittihad
ALASKA,ALASKA
ALGO,ALGO
Alliance,Alliance
ALLINNERS,ALLINNERS
Alter Ego,Alter Ego
Alter Iron,Alter Iron
ALTERNATE aTTaX,ALTERNATE aTTaX
AMKAL,AMKAL
Amkal Esports,AMKAL
Amped,Amped
Amped Red,Amped Red
América,América
Anonymo,Anonymo
anything else,anything else
Apeks,Apeks
Apogee,Betclic
Arcade,Arcade
Arcade Esports,Arcade
ARCRED,ARCRED
Argentina,Argentina
Arrow,Arrow
The Art of War,The Art of War
Astralis,Astralis
Astralis Talent,ex-Astralis Talent
ex-Astralis Talent,ex-Astralis Talent
Astralis W,Astralis W
Astrum,Astrum
ATOX,ATOX
ATOX Esports,ATOX
Atrix,Atrix
AURA,AURA
Aurora,Aurora
ex-Aurora,ex-Aurora
Aurora Gaming,Aurora
Aurora Young Blud,Aurora Young Blud
AVEZ,AVEZ
Aware fe,Aware fe
B8,B8
Bad News Capybaras,Bad News Capybaras
Bad News Chickens,Bad News Chickens
Bad News Eagles,Bad News Eagles
Bad News Kangaroos,Bad News Kangaroos
BadGuys,BadGuys
BAKS,BAKS
BASEMENT BOYS,BASEMENT BOYS
BC.Game,BC.Game
BC.Game Esports,BC.Game
Belfast Storm,Belfast Storm
benched,benched
BESTIA,BESTIA
BetBoom,BetBoom
BetBoom Team,BetBoom
Betclic,Betclic
Betclic Apogee Esports,Betclic
Betera,Betera
BIG,BIG
BIG EQUIPA,BIG EQUIPA
Big W,Big W
Bigetron Fury,Bigetron Fury
Black Mold,Black Mold
Blaze Warriors,Blaze Warriors
BLEED,UNPAID
BLEED Esports,UNPAID
Blue Otter Karma,Blue Otter Karma
BLUEJAYS,BLUEJAYS
BOSS,BOSS
Bounty Hunters,Bounty Hunters
Bounty Hunters Esports,Bounty Hunters
Bounty Hunters fe,Bounty Hunters fe
Bravado,Bravado
brazylijski luz,brazylijski luz
Bromo,Bromo
BRUTE,BRUTE
BURN,BURN
Bushido Wildcats,Bushido Wildcats
Canada,Canada
Canon Event,Canon Event
Carpe Diem,Carpe Diem
Case,Case
Case Esports,Case
CatEvil,CatEvil
Change The Game,Change The Game
Chetz,Chetz
Chicken Coop,Chicken Coop
Chile,Chile
Chill Guys,Chill Guys
Chimera,Chimera
Chinggis Warriors,Chinggis Warriors
The Chosen Few,The Chosen Few
Cloud9,Cloud9
Clutch,Clutch
Complexity,Complexity
Corinthians,Corinthians
CPH Wolves,CPH Wolves
Crescent fe,Crescent fe
CS2News,CS2News
CS2News Ladies,CS2News Ladies
Cyber Empire,Cyber Empire
CYBERSHOKE,CYBERSHOKE
CYBERSHOKE Esports,CYBERSHOKE
Czech Republic,Czech Republic
Daaku,Daaku
Dark Cloud,Dark Cloud
Dark Tigers,Dark Tigers
DASH,DASH
Daystar,Daystar
Delta,Delta
Denial,Denial
Denmark fe,Denmark fe
DEPO,DEPO
DETONATE,Detonate
Detonate,Detonate
devils.one,devils.one
Dewa United,Dewa United
DMS,DMS
DogEvil,DogEvil
Dragon EC,Dragon EC
dream catchers fe,dream catchers fe
Dreams To Legends,Dreams To Legends
DRILLAS,DRILLAS
DUSTY,DUSTY
Dusty Roots,Dusty Roots
DXA,DXA
DXA Esports,DXA
Dynamo Eclot,ECLOT
